node_id,feature_id,value
0,431,1
0,646,1
0,712,1
1,647,1
1,803,1
1,848,1
2,120,1
2,346,1
2,950,1
2,1026,1
2,1088,1
3,275,1
3,744,1
3,811,1
3,817,1
3,1088,1
4,36,1
4,41,1
4,202,1
4,636,1
4,648,1
4,838,1
4,1187,1
5,638,1
5,1019,1
5,1171,1
6,173,1
6,300,1
6,363,1
6,1071,1
6,1113,1
7,40,1
7,66,1
7,123,1
7,156,1
7,218,1
7,539,1
7,1054,1
7,1154,1
8,114,1
8,123,1
8,622,1
8,826,1
8,845,1
9,123,1
9,218,1
9,950,1
9,1054,1
10,325,1
10,343,1
11,10,1
11,121,1
11,446,1
11,488,1
11,557,1
11,745,1
11,879,1
11,901,1
11,954,1
12,127,1
12,445,1
12,483,1
12,495,1
12,688,1
12,743,1
13,510,1
13,761,1
13,876,1
13,1090,1
13,1122,1
14,12,1
14,41,1
14,97,1
14,123,1
14,140,1
14,178,1
14,218,1
14,393,1
14,488,1
14,810,1
15,142,1
15,352,1
15,454,1
15,581,1
15,889,1
15,984,1
15,1165,1
16,36,1
16,69,1
16,97,1
16,544,1
16,552,1
16,638,1
16,1004,1
17,156,1
17,803,1
17,901,1
17,1004,1
18,36,1
18,249,1
18,840,1
18,946,1
19,63,1
19,325,1
19,335,1
19,667,1
20,638,1
20,759,1
20,1019,1
20,1081,1
21,341,1
21,506,1
21,581,1
22,335,1
22,590,1
22,695,1
22,1008,1
22,1068,1
22,1114,1
23,190,1
23,343,1
23,423,1
23,446,1
23,865,1
24,48,1
24,54,1
24,553,1
24,581,1
24,587,1
24,708,1
24,1105,1
24,1214,1
25,67,1
25,622,1
25,966,1
26,123,1
26,178,1
26,218,1
26,578,1
26,585,1
26,1054,1
26,1154,1
27,127,1
27,402,1
27,480,1
27,743,1
27,966,1
28,293,1
28,297,1
28,357,1
28,392,1
28,775,1
28,1225,1
29,27,1
29,171,1
29,189,1
29,224,1
29,501,1
29,539,1
29,1088,1
30,273,1
30,303,1
30,935,1
30,1053,1
30,1171,1
31,74,1
31,120,1
31,359,1
31,517,1
31,674,1
31,1088,1
32,312,1
32,826,1
32,864,1
32,882,1
32,977,1
33,97,1
33,660,1
33,705,1
33,1185,1
33,1186,1
34,157,1
34,181,1
34,418,1
34,688,1
34,982,1
34,1155,1
35,625,1
36,178,1
36,1090,1
36,1121,1
36,1136,1
37,200,1
37,630,1
37,632,1
37,1209,1
38,178,1
38,273,1
38,447,1
38,488,1
38,578,1
38,652,1
38,1081,1
38,1169,1
39,139,1
39,296,1
39,344,1
39,1188,1
40,102,1
40,157,1
40,228,1
40,423,1
40,432,1
40,866,1
40,1026,1
41,801,1
41,805,1
41,905,1
41,1089,1
42,99,1
42,211,1
42,268,1
42,344,1
42,1115,1
43,273,1
43,431,1
43,625,1
43,895,1
44,157,1
44,367,1
44,512,1
44,891,1
44,901,1
44,1030,1
44,1088,1
45,298,1
45,1231,1
46,324,1
46,828,1
46,1053,1
46,1056,1
46,1102,1
46,1128,1
47,156,1
47,676,1
47,1013,1
48,247,1
48,445,1
48,581,1
48,752,1
48,838,1
49,57,1
49,643,1
