node_id,feature_id,value
0,37,1
0,47,1
0,66,1
0,216,1
0,262,1
0,566,1
0,1163,1
0,1509,1
0,1614,1
0,1642,1
0,1663,1
0,1798,1
0,1843,1
0,1989,1
0,2026,1
0,2400,1
0,2457,1
0,2522,1
0,2598,1
0,2619,1
0,2642,1
0,2903,1
0,3017,1
0,3051,1
0,3164,1
0,3269,1
0,3273,1
0,3288,1
0,3412,1
0,3448,1
0,3670,1
1,0,1
1,32,1
1,103,1
1,148,1
1,169,1
1,212,1
1,411,1
1,506,1
1,544,1
1,580,1
1,651,1
1,901,1
1,982,1
1,1030,1
1,1161,1
1,1330,1
1,1512,1
1,1584,1
1,1606,1
1,1843,1
1,1916,1
1,1988,1
1,2066,1
1,2086,1
1,2217,1
1,2267,1
1,2285,1
1,2375,1
1,2430,1
1,2469,1
1,2475,1
1,2545,1
1,2569,1
1,2571,1
1,2595,1
1,2610,1
1,2700,1
1,2718,1
1,2977,1
1,2978,1
1,3204,1
2,0,2
2,19,1
2,88,1
2,103,1
2,132,1
2,167,1
2,602,1
2,614,1
2,740,1
2,809,1
2,945,1
2,1039,1
2,1055,1
2,1173,1
2,1270,1
2,1277,1
2,1489,1
2,1546,1
2,1707,1
2,1739,1
2,2151,1
2,2345,1
2,2375,1
2,2532,1
2,2564,1
2,2569,1
2,2978,1
2,3005,1
2,3123,1
2,3146,1
2,3404,1
2,3488,1
2,3502,1
2,3555,1
2,3615,1
3,0,3
3,19,1
3,130,1
3,176,1
3,494,1
3,564,1
3,614,1
3,866,1
3,1262,1
3,1266,1
3,1302,1
3,1843,1
3,1847,1
3,1988,1
3,2238,1
3,2240,1
3,2242,1
3,2264,1
3,2355,1
3,2396,1
3,2690,1
3,2699,1
3,2715,1
3,2953,1
3,3035,1
3,3089,1
3,3135,1
3,3137,1
3,3150,1
3,3360,1
3,3378,1
3,3600,1
3,3633,1
4,0,4
4,19,1
4,54,1
4,197,1
4,566,1
4,620,1
4,746,1
4,817,1
4,825,1
4,858,1
4,958,1
4,990,1
4,1047,1
4,1091,1
4,1099,1
4,1238,1
4,1286,1
4,1612,1
4,1614,1
4,1734,1
4,1768,1
4,1798,1
4,1843,1
4,1884,1
4,1937,1
4,2251,1
4,2311,1
4,2452,1
4,2540,1
4,2577,1
4,2737,1
4,3193,1
4,3232,1
4,3279,1
4,3323,1
4,3371,1
4,3450,1
4,3610,1
