id,target
0,1
1,4
2,5
3,5
4,0
5,1
6,2
7,4
8,1
9,4
10,2
11,0
12,5
13,2
14,5
15,2
16,2
17,2
18,1
19,0
20,5
21,0
22,0
23,5
24,1
25,0
26,1
27,2
28,1
29,4
30,2
31,4
32,1
33,4
34,0
35,4
36,3
37,5
38,0
39,0
40,5
41,2
42,2
43,5
44,0
45,3
46,1
47,3
48,4
49,2
50,5
51,1
52,5
53,5
54,2
55,4
56,2
57,5
58,0
59,0
60,0
61,5
62,2
63,5
64,1
65,2
66,2
67,2
68,5
69,2
70,2
71,5
72,2
73,2
74,0
75,3
76,2
77,2
78,2
79,2
80,5
81,1
82,2
83,5
84,2
85,5
86,3
87,5
88,5
89,5
90,2
91,5
92,4
93,2
94,4
95,5
96,2
97,2
98,5
99,2
100,2
101,5
102,2
103,4
104,5
105,1
106,5
107,2
108,1
109,1
110,2
111,2
112,2
113,4
114,4
115,1
116,2
117,2
118,2
119,4
120,4
121,4
122,5
123,2
124,3
125,2
126,5
127,2
128,4
129,1
130,1
131,5
132,1
133,5
134,5
135,2
136,2
137,1
138,5
139,2
140,2
141,1
142,0
143,2
144,1
145,2
146,2
147,5
148,5
149,4
150,2
151,5
152,4
153,5
154,5
155,4
156,0
157,5
158,4
159,2
160,1
161,2
162,1
163,4
164,5
165,1
166,5
167,5
168,2
169,4
170,1
171,3
172,2
173,5
174,2
175,4
176,2
177,1
178,5
179,2
180,1
181,2
182,2
183,1
184,2
185,0
186,4
187,5
188,1
189,4
190,5
191,5
192,2
193,1
194,3
195,5
196,1
197,1
198,3
199,3
200,2
201,1
202,5
203,1
204,1
205,0
206,2
207,5
208,2
209,2
210,2
211,2
212,2
213,1
214,1
215,1
216,3
217,0
218,2
219,3
220,2
221,2
222,2
223,2
224,4
225,2
226,3
227,1
228,3
229,2
230,2
231,5
232,3
233,2
234,2
235,5
236,4
237,5
238,5
239,5
240,1
241,5
242,4
243,0
244,2
245,3
246,4
247,1
248,4
249,4
250,2
251,1
252,0
253,3
254,4
255,2
256,3
257,5
258,5
259,2
260,4
261,5
262,2
263,0
264,2
265,5
266,2
267,4
268,1
269,2
270,2
271,3
272,2
273,5
274,2
275,5
276,3
277,3
278,3
279,4
280,2
281,0
282,2
283,1
284,2
285,3
286,5
287,5
288,4
289,1
290,0
291,1
292,2
293,4
294,0
295,2
296,2
297,4
298,4
299,0
300,2
301,2
302,5
303,1
304,2
305,2
306,4
307,2
308,1
309,3
310,1
311,1
312,1
313,5
314,5
315,2
316,1
317,2
318,5
319,1
320,5
321,3
322,1
323,5
324,4
325,2
326,2
327,5
328,4
329,4
330,2
331,3
332,5
333,5
334,5
335,4
336,2
337,4
338,5
339,0
340,2
341,5
342,5
343,4
344,2
345,2
346,2
347,2
348,2
